worker_name,hire_name,hire_height,hire_width,is_cnc,trade_code,tool_operation_id,oper_group_id,num,worker_encoded,material,h_name_freq,h_width_freq,h_height_freq,material_freq,tool_operation_id_encoded,oper_group_id_encoded,trade_code_encoded
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,300,0,0,1367,21,24,7,2,ПОКОВКА КРУГЛАЯ 0 300,0.06386508155930329,0.49018523638374345,0.012164777439867294,0.0024882499308819463,0.5407331975560081,0.8571428572456827,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,260,0,0,1367,21,35,21,2,ПОКОВКА КРУГЛАЯ 0 260,0.06386508155930329,0.49018523638374345,0.007188277578103401,0.006358860934476085,0.5407331975560081,1.3044059560481984,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,320,0,0,1367,21,35,53,2,ПОКОВКА КРУГЛАЯ 0 320,0.06386508155930329,0.49018523638374345,0.007188277578103401,0.007188277578103401,0.5407331975560081,1.3044059560481984,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,270,0,0,1367,21,24,18,2,ПОКОВКА КРУГЛАЯ 0 270,0.06386508155930329,0.49018523638374345,0.007741222007188278,0.007464749792645839,0.5407331975560081,0.8571428572456827,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,280,0,0,1367,21,35,18,2,ПОКОВКА КРУГЛАЯ 0 280,0.06386508155930329,0.49018523638374345,0.0035941387890517005,0.0035941387890517005,0.5407331975560081,1.3044059560481984,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,270,0,0,1383,555,90,2,2,ПОКОВКА КРУГЛАЯ 0 270,0.06386508155930329,0.49018523638374345,0.007741222007188278,0.007464749792645839,2.0558923204231108,2.044540050100237,1.5268169988604148
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,200,0,0,1367,21,24,40,2,ПОКОВКА КРУГЛАЯ 0 200,0.06386508155930329,0.49018523638374345,0.029858999170583357,0.000552944429084877,0.5407331975560081,0.8571428572456827,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,320,0,0,1367,21,25,9,2,ПОКОВКА КРУГЛАЯ 0 320,0.06386508155930329,0.49018523638374345,0.007188277578103401,0.007188277578103401,0.5407331975560081,2.0484975074406826,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,320,0,0,1367,21,35,9,2,ПОКОВКА КРУГЛАЯ 0 320,0.06386508155930329,0.49018523638374345,0.007188277578103401,0.007188277578103401,0.5407331975560081,1.3044059560481984,0.5812154696132596
Бригада Пасютина,ПОКОВКА КРУГЛАЯ,290,0,1,1367,21,24,24,2,ПОКОВКА КРУГЛАЯ 0 290,0.06386508155930329,0.49018523638374345,0.0049764998617638926,0.004423555432679016,0.5407331975560081,0.8571428572456827,0.5812154696132596
